Aesthetics deals with objects that are_____.,essential to our existence,unimportant to most people,not essential to our existence,rarely viewed,C
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.",the state,the justice system,the body,the soul,D
"According to Kant, nothing can be called “good” without qualification except _____.",right action,good consequences,happiness,a good will,D
Plato's view is that true beauty is _____.,found in everyday objects,nonexistent,everywhere in the natural world,not of this world,D
"In Aristotle’s terminology, incontinence is when:",one does not know that one’s actions are wrong.,"one knows that one’s actions are wrong, but does them anyway.","one knows that one’s feelings are inappropriate, and does not act on them.","one does the right action, but for the wrong reason.",B
Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D
Rawls conceives of the original contract as one to:,enter a particular society.,set up a particular form of government.,establish the principles of justice for the basic structure of society.,establish the content of morality.,C
"According to Singer, compliance with his principle requires:","modest changes to our personal habits, but not to our society as a whole.","modest changes to our personal habits, as well as to society.","drastic changes to our personal habits, but not to our society.",drastic changes to both our personal habits and to our society.,D
"For Socrates, the soul is harmed by lack of _____.",knowledge,wealth,community,courage,A
"According to Kant, morality requires us to:",perform the action that leads to the greatest total happiness.,act only on maxims that we can will to become universal laws.,behave only in such a way as a perfectly virtuous person would behave.,place the interests of others above the interests of ourselves.,B
"According to Gauthier, the basis of morality is:",maximizing the utility of all sentient beings.,God’s commands.,the agreement of rational persons choosing the terms of their interaction.,the purposive order of nature.,C
Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:,religion.,physics.,psychology.,art.,C
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,duty.,justice.,virtue.,supererogation.,B
Berkeley asserts that existing and perceiving are _____.,one and the same thing,both nonexistent,two distinct things,imaginary,A
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",rational,artificial,constitutional,fair,D
Berkeley believes that sensible things cannot exist except in _____.,a mind,absolute existence,material substance,a material universe,A
Singer claims that his argument upsets the traditional distinction between:,duty and charity.,egoism and altruism.,rights and privileges.,positive and negative rights.,A
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing:","to what our senses reveal to us about how things appear to us, not how they  really are.","beyond the Forms to images of goodness, beauty, and truth obtained from particular objects.",to what we sincerely believe is true about the Forms based on our experiences in the world.,beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered.,D
What was Clarence Darrow's belief about life's meaning?,Life was not worthwhile.,Life was hard but worthwhile.,Life was uncertain but ultimately rewarding.,Life was meaningful for most people.,A
Stevenson’s primary aim in this paper is to:,provide an account of what makes right actions right.,establish which things are good in themselves.,develop a theory of good moral character.,make ethical questions clear.,D
"According to Moore, we are thinking about good whenever we think about:",pleasure.,things that we desire.,intrinsic value.,none of the above.,C
Baier argues that genuine moral rules:,must be for the good of human beings.,make take into account the interests of all sentient beings.,must take into account the interests of all living beings.,are primarily directed toward promoting self-interest.,A
"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward:",rationalism.,empiricism.,relativism.,absolutism.,C
Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations:,why should we bother? and what are the consequences of our believing one thing over another?,what do you mean? and how do you know?,who really believes X? and how can we explain differences in people's beliefs?,how do philosophers argue? and are their differences important?,B
